Model,Accuracy score,Recall score,Precision score,F1 score,ROC-AUC score
Logistic regression,0.631961509992598,0.43626890567310755,0.5423452389273317,0.4835580298718295,0.6463210603436279
Decision tree,0.602079940784604,0.4539235714151845,0.4958846894066582,0.4739772404818051,0.5763252914134072
Bagging model,0.6468467801628424,0.39929156436831154,0.5763716048046749,0.4717618272605485,0.6589354295646004
Random forest,0.6417838638045892,0.37863822928575447,0.5699977429184065,0.4550173984527201,0.6518429597539545
AdaBoosting,0.6445151739452257,0.20072342897839085,0.6656721983964199,0.3084410909195634,0.6551021060050224
Gradient boosting,0.658179126572909,0.3224694042018854,0.6317606021663301,0.426990271987294,0.6823759615476279
